ein,org_name_display,org_addr_full,ntee_code_major_group,ntee_code_definition,geo_match_addr,geo_county,geo_lat,geo_lon
01-0477310,Christian Mission Services,"200 COMMONWEALTH CT, CARY, NC 27511-2431",UNDEFINED,UNDEFINED,"200 Commonwealth Ct, Cary, North Carolina, 27511",Wake County,35.7671198545789,-78.7847643731893
01-0616952,Christ Our Hope Church,"203 CAPCOM AVE, WAKE FOREST, NC 27587-6514",UNDEFINED,UNDEFINED,"203 Capcom Ave, Wake Forest, North Carolina, 27587",Wake County,35.9489820147439,-78.5271577344916
01-0636457,Grace Ministries I,"6717 VERNIE DR, RALEIGH, NC 27603-8549",Housing and Shelter,Homeless Shelters,"6717 Vernie Dr, Raleigh, North Carolina, 27603",Wake County,35.5892264224134,-78.625334114173
01-0649099,Apex Highschool A O I T Support,"1501 LAURA DUNCAN RD, APEX, NC 27502-1539",Education,Parent/Teacher Group,"1501 Laura Duncan Rd, Apex, North Carolina, 27502",Wake County,35.7445641662817,-78.8364378330535
01-0667136,Reunite Cultures Fund,"7920 LAGENARIA DR, ANGIER, NC 27501-5503","Arts, Culture and Humanities",Music,"7920 Lagenaria Dr, Angier, North Carolina, 27501",Wake County,35.5422239378211,-78.7552550387499
01-0727936,Divine Gospel Mission International,"500 S NEW HOPE RD STE 103, RALEIGH, NC 27610-6401",Religion-Related,Protestant,"500 S New Hope Rd, Ste 103, Raleigh, North Carolina, 27610",Wake County,35.7725308467887,-78.5605398027004
01-0731506,Moore Square Museums Magnet Middle School Ptsa,"301 S PERSON ST, RALEIGH, NC 27601-1821",UNDEFINED,UNDEFINED,"301 S Person St, Raleigh, North Carolina, 27601",Wake County,35.7762737987766,-78.6350057727801
01-0868044,Revive Her Ministries,"1794 WENDELL BLVD, WENDELL, NC 27591-7292",Religion-Related,Christianity,"1794 Wendell Blvd, Wendell, North Carolina, 27591",Wake County,35.8020811612041,-78.400280341797
01-0900768,PTA North Carolina Congress,"11501 FRST PNES DR, RALEIGH, NC 27614-8031",UNDEFINED,UNDEFINED,"11501 Forest Pines Dr, Raleigh, North Carolina, 27614",Wake County,35.9532967882451,-78.5456283248592
01-0936487,Jill M Taylor Dance,"1921 FLS LNDG DR, RALEIGH, NC 27614-9829","Arts, Culture and Humanities",Dance,"1921 Falls Landing Dr, Raleigh, North Carolina, 27614",Wake County,35.9241805925903,-78.5734837800507
01-0936847,Living Kingdom Youth Development,"942 WIDEWATERS PKWY, KNIGHTDALE, NC 27545-7322",Youth Development,Camp Fire,"942 Widewaters Pkwy, Knightdale, North Carolina, 27545",Wake County,35.7925522414738,-78.504132370362
01-0939938,Incito,"4225 COLDWATER SPGS DR, RALEIGH, NC 27616-8419",Human Services,Family Services,"4225 Coldwater Springs Dr, Raleigh, North Carolina, 27616",Wake County,35.8578017580066,-78.4850185953316
01-0960609,Parent Booster Usa,"400 E MOORE ST, APEX, NC 27502-1927",UNDEFINED,UNDEFINED,"400 E Moore St, Apex, North Carolina, 27502",Wake County,35.7264700776449,-78.8475580699692
01-0967955,Sigma Gamma Rho Sorority,"1000 SOUTHHILL DR, CARY, NC 27513-8630",UNDEFINED,UNDEFINED,"1000 Southhill Dr, Cary, North Carolina, 27513",Wake County,35.8315250815973,-78.7762067630565
02-0604069,True Holiness Endtime Ministries,"1421 S WILMINGTON ST, RALEIGH, NC 27603-2525",Religion-Related,Protestant,"1421 S Wilmington St, Raleigh, North Carolina, 27603",Wake County,35.761938841797,-78.6391891723413
02-0615760,Christ Church Preschool,"120 E EDENTON ST, RALEIGH, NC 27601-1014",Education,"Kindergarten, Preschool, Nursery School, Early Admissions","120 E Edenton St, Raleigh, North Carolina, 27601",Wake County,35.7811205889263,-78.6374908112701
02-0624214,St Thomas More Academy,"4641 PARAGON PARK RD, RALEIGH, NC 27616-3406",UNDEFINED,UNDEFINED,"4641 Paragon Park Rd, Raleigh, North Carolina, 27616",Wake County,35.8886712231806,-78.5606552042531
02-0645520,Delta Epsilon Of Sigma Chi,"4825 REMBERT DR, RALEIGH, NC 27612-6237",Recreation and Sports,Recreational l Clubs,"4825 Rembert Dr, Raleigh, North Carolina, 27612",Wake County,35.8521581848348,-78.6889540555425
02-0647356,Triangle Volleyball Club,"121 COMPETITION CTR DR, MORRISVILLE, NC 27560-9032",Recreation and Sports,Amateur Sports,"121 Competition Center Dr, Morrisville, North Carolina, 27560",Wake County,35.8427184615673,-78.8173995123492
02-0683707,Toastmasters International,"3809 CASCADE CT, RALEIGH, NC 27604-3301",UNDEFINED,UNDEFINED,"3809 Cascade Ct, Raleigh, North Carolina, 27604",Wake County,35.8313098445956,-78.5884930875699
02-0755744,Nclm Local Leadership Foundation,"434 FAYETTEVILLE ST STE 1900, RALEIGH, NC 27601-1899",Public and Societal Benefit,Single Organization Support,"434 Fayetteville St, Ste 1900, Raleigh, North Carolina, 27601",Wake County,35.7743679672514,-78.6394469971431
02-0766172,New Seed Youth Organization,"121 MCKENZIE MDW LN, APEX, NC 27539-7733",Recreation and Sports,Basketball,"121 McKenzie Meadow Ln, Apex, North Carolina, 27539",Wake County,35.6784167041376,-78.8097801981936
